segment_id,system_id,BERTScore,BLEU,BLEURT-20,COMET-22,CometKiwi,GEMBA-ESA,MEE4,MQM,MetricX-24-Hybrid,MetricX-24-Hybrid-QE,PrismRefMedium,PrismRefSmall,XCOMET,XCOMET-QE,XLsimMqm,YiSi-1,chrF,chrfS,damonmonli,metametrics_mt_mqm_hybrid,metametrics_mt_mqm_qe,sentinel-cand,sentinel-ref,sentinel-src,spBLEU
68,C,1,100.0000,0.9917,0.9912,0.8163,100,1,null,-0.3591,-2.3612,-1.1400,-0.9567,0.9185,1.0017,0.9871,1,100,0.8125,55.2600,1.4150,1.1955,0.5017,0.4883,0.5383,100
68,Claude-3.5,1,100.0000,0.9887,0.9912,0.8163,100,1.0000,-0,-0.3632,-2.3564,-0.0522,-0.1015,0.9183,1.0017,0.9871,1,100,0.8125,55.2600,1.4150,1.1955,0.5017,0.4884,0.5384,100
68,CommandR-plus,1.0000,100.0000,0.9924,0.9912,0.8164,100,1.0000,-0,-0.3579,-2.3637,-0.0609,-0.0867,0.9185,1.0017,0.9871,1,100,0.8125,55.2600,1.4150,1.1955,0.5017,0.4884,0.5384,100
68,D,0.8462,31.9472,0.8771,0.8778,0.7392,100,0.7027,null,-0.6253,-2.0741,-1.2243,-1.4005,1.0024,0.9834,0.9505,0.8363,20.8333,0.4979,53.4294,1.4354,1.2064,0.5972,0.4883,0.5383,24.8805
68,DLUT_GTCOM,1,100.0000,0.9917,0.9912,0.8164,100,1.0000,-0,-0.3661,-2.3555,-0.0506,-0.0551,0.9185,1.0017,0.9871,1,100,0.8125,55.2600,1.4150,1.1955,0.5017,0.4884,0.5384,100
68,E,1,100.0000,0.9892,0.9912,0.8164,100,1,null,-0.3579,-2.3554,-0.1353,-0.1636,0.9185,1.0017,0.9871,1,100,0.8125,55.2600,1.4150,1.1955,0.5017,0.4883,0.5383,100
68,F*,1,100.0000,0.9917,0.9912,0.8164,100,1,-0,-0.3661,-2.3834,-0.1209,-0.0878,0.9185,1.0017,0.9871,1,100,0.8125,55.2600,1.4150,1.1955,0.5017,0.4883,0.5383,100
68,GPT-4,1,100.0000,0.9915,0.9912,0.8163,100,1.0000,-0,-0.3579,-2.3834,-0.0455,-0.0897,0.9184,1.0017,0.9871,1,100,0.8125,55.2600,1.4150,1.1955,0.5017,0.4884,0.5384,100
68,Gemini-1.5-Pro,1,100.0000,0.9896,0.9912,0.8163,100,1.0000,-0,-0.3578,-2.3612,-0.0563,-0.0778,0.9185,1.0017,0.9871,1,100,0.8125,55.2600,1.4150,1.1955,0.5017,0.4884,0.5384,100
68,IKUN-C,0.9202,31.9472,0.9681,0.9449,0.7928,100,0.7509,-0,-1.1352,-3.1012,-1.3967,-1.9636,0.9897,0.9964,0.9449,0.9046,20.8333,0.5351,50.4508,1.4340,1.2130,0.4628,0.4884,0.5384,24.8805
68,IOL_Research,1,100.0000,0.9917,0.9912,0.8163,100,1.0000,-0,-0.3623,-2.3662,-0.0726,-0.1187,0.9183,1.0017,0.9871,1,100,0.8125,55.2600,1.4150,1.1955,0.5017,0.4884,0.5384,100
68,Llama3-70B,1,100.0000,0.9888,0.9912,0.8163,100,1.0000,-0,-0.3579,-2.3396,-0.0701,-0.0743,0.9184,1.0017,0.9871,1,100,0.8125,55.2600,1.4150,1.1955,0.5017,0.4884,0.5384,100
68,NTTSU,1,100.0000,0.9917,0.9912,0.8163,100,1.0000,-0,-0.3627,-2.3699,-0.0416,-0.0718,0.9185,1.0017,0.9871,1,100,0.8125,55.2600,1.4150,1.1955,0.5017,0.4884,0.5384,100
68,ONLINE-B,1.0000,100.0000,0.9892,0.9912,0.8164,100,1.0000,-0,-0.3642,-2.3903,-0.0768,-0.1645,0.9184,1.0017,0.9871,1,100,0.8125,55.2600,1.4150,1.1955,0.5017,0.4884,0.5384,100
68,Team-J,1.0000,100.0000,0.9881,0.9912,0.8162,100,1.0000,-0,-0.3579,-2.3637,-0.0611,-0.0805,0.9184,1.0017,0.9871,1,100,0.8125,55.2600,1.4150,1.1955,0.5017,0.4884,0.5384,100
68,Unbabel-Tower70B,1.0000,100.0000,0.9899,0.9912,0.8163,100,1.0000,-0,-0.3605,-2.3903,-0.0504,-0.0860,0.9184,1.0017,0.9871,1,100,0.8125,55.2600,1.4150,1.1955,0.5017,0.4884,0.5384,100
69,A,0.4822,0.5702,0.1422,0.2768,0.2482,0,0.0706,null,-20.8205,-19.5396,-2.0145,-2.1751,-0.0240,-0.0180,0.8821,0.4432,1.4205,0.0502,15.9439,0.1117,0.1673,-2.5126,-0.5510,-0.8631,0.7430
69,Aya23,0.8834,54.1671,0.6915,0.8845,0.8443,100,0.7255,-2,-5.1991,-6.2145,-0.9856,-1.1406,0.8353,0.8250,0.9623,0.8779,48.9348,0.6663,52.7169,1.3146,0.8926,-0.2882,-0.5510,-0.8631,54.2294
69,B,0.7083,17.1032,0.2284,0.4891,0.3372,0,0.5514,null,-16.1228,-16.2215,-2.2402,-2.4498,0.1188,0.0626,0.9222,0.6753,15.5364,0.4226,35.5692,0.1760,0.1740,-2.4028,-0.5510,-0.8631,10.5037
69,C,0.7297,20.3380,0.2779,0.4659,0.3742,0,0.5897,null,-15.3978,-15.4547,-2.2779,-2.3978,0.0780,0.1399,0.9438,0.7041,17.3625,0.4543,43.0534,0.1341,0.1791,-2.6259,-0.5510,-0.8631,16.6369
69,Claude-3.5,0.8463,39.0115,0.6880,0.8695,0.8597,100,0.7043,-0,-4.0861,-4.7032,-1.1323,-1.4322,0.8669,0.8692,0.9597,0.8431,37.5488,0.6099,50.8637,1.3398,1.0175,-0.0456,-0.5510,-0.8631,35.4480
69,CommandR-plus,0.8964,59.8847,0.6903,0.8786,0.8113,100,0.7267,-0,-5.0527,-5.7023,-1.0334,-1.2258,0.8432,0.7774,0.9658,0.8872,53.4197,0.6842,51.8979,1.2996,0.9543,-0.3349,-0.5510,-0.8631,55.6546
